method	n	seed	col	coverage	r2	length	group	subgroup
CalPred	10000	0	age_q_0	0.95636025998143	0.0407122809817946	1.0268951110971067	Age	0
CalPred	10000	0	age_q_4	0.9458715596330276	0.0323418582067791	0.911426355807577	Age	4
CalPred	10000	0	age_q_4	0.9592274678111588	0.0222564534805022	0.9421507611346658	Age	4
CalPred	10000	0	age_q_9	0.9503105590062112	0.0665995758532812	0.7678851634715486	Age	9
CalPred	10000	0	education_q_1	0.9435215946843852	0.0220870070530165	1.0766152308392856	Education	1
CalPred	10000	0	education_q_4	0.9495711835334476	0.0481290223299837	0.8777707908000324	Education	4
CalPred	10000	0	income_q_1	0.9650837988826816	0.0453189178791602	1.1069969213446165	Income	1
CalPred	10000	0	income_q_5	0.947470065662418	0.0626167260586844	0.9322546516713244	Income	5
CalPred	10000	0	income_q_9	0.9477124183006536	0.064642101169627	0.7938121931212316	Income	9
CalPred	10000	0	marginal	0.9514	0.0645883310406417	0.9221922096676656	Overall	
CalPred	10000	0	sex_q_0	0.954484153742414	0.0783220079412587	1.0135872772668924	Sex	0
CalPred	10000	0	sex_q_1	0.9469026548672568	0.0445809643117712	0.7889189695008484	Sex	1
CalPred	10000	1	age_q_0	0.9508196721311476	0.0733127276264053	1.0221008163412502	Age	0
CalPred	10000	1	age_q_4	0.9515096065873742	0.0650556800623299	0.924051208240702	Age	4
CalPred	10000	1	age_q_4	0.9434156378600824	0.0167987866574332	0.9511729141959188	Age	4
CalPred	10000	1	age_q_9	0.9624365482233502	0.074689043266821	0.7489561865999861	Age	9
CalPred	10000	1	education_q_1	0.946843853820598	0.0038027707368821	1.0671314931237958	Education	1
CalPred	10000	1	education_q_4	0.9539668700959024	0.0577240737661939	0.8845691574362171	Education	4
CalPred	10000	1	income_q_1	0.9509536784741144	0.0361446323488205	1.1007612400134112	Income	1
CalPred	10000	1	income_q_5	0.9534064212999216	0.0482596159282661	0.9269631458936356	Income	5
CalPred	10000	1	income_q_9	0.944621938232162	0.0431147606334821	0.8174586550093244	Income	9
CalPred	10000	1	marginal	0.9539	0.0665280664872709	0.9268258262428432	Overall	
CalPred	10000	1	sex_q_0	0.9577744659711872	0.0789565771841474	1.0094049800169542	Sex	0
CalPred	10000	1	sex_q_1	0.9479929310780106	0.0485733201785729	0.8009244100242477	Sex	1
CalPred	10000	2	age_q_0	0.9606903163950145	0.0519421959109731	1.0302982820686752	Age	0
CalPred	10000	2	age_q_4	0.9396092362344582	0.0375673029903663	0.9040346476158256	Age	4
CalPred	10000	2	age_q_4	0.9427027027027028	0.0353501469982851	0.9381558004895376	Age	4
CalPred	10000	2	age_q_9	0.9551616266944736	0.0500041691415611	0.759140492926619	Age	9
CalPred	10000	2	education_q_1	0.9337539432176656	0.0213912361283451	1.0716017641023936	Education	1
CalPred	10000	2	education_q_4	0.946223668436376	0.0539028333138117	0.8691559595677061	Education	4
CalPred	10000	2	income_q_1	0.949468085106383	0.0237564598507693	1.1049550759852926	Income	1
CalPred	10000	2	income_q_5	0.950229709035222	0.0485650649767646	0.9231510478104532	Income	5
CalPred	10000	2	income_q_9	0.937007874015748	0.0626841950402567	0.7831927134152257	Income	9
CalPred	10000	2	marginal	0.9503	0.0611008659221488	0.9146693530599248	Overall	
CalPred	10000	2	sex_q_0	0.9536313777630048	0.0731302674548493	0.999845059666422	Sex	0
CalPred	10000	2	sex_q_1	0.9452673863921668	0.0391596838912053	0.7859969386357993	Sex	1
CalPred	10000	3	age_q_0	0.9566532258064516	0.0426834464721108	1.0390092864182876	Age	0
CalPred	10000	3	age_q_4	0.9622144112478032	0.0389837574891212	0.919002920413892	Age	4
CalPred	10000	3	age_q_4	0.95042194092827	0.043153235856522	0.9539272574775548	Age	4
CalPred	10000	3	age_q_9	0.9499509322865556	0.0468874615626999	0.7601030269687701	Age	9
CalPred	10000	3	education_q_1	0.9391891891891893	0.0096241297251043	1.0901362219184811	Education	1
CalPred	10000	3	education_q_4	0.9566700784715114	0.0510426530432057	0.8784876939109728	Education	4
CalPred	10000	3	income_q_1	0.9556509298998568	0.036036776790207	1.1185004084778338	Income	1
