0.2	0.001	CalPred	0	90.16064257028113	50000
0.2	0.001	PredInterval	0	88.75502008032129	50000
0.2	0.001	CalPred	0	95.49019607843138	5000
0.2	0.001	PredInterval	0	88.0392156862745	5000
0.2	0.001	CalPred	1	90.6054279749478	50000
0.2	0.001	PredInterval	1	77.66179540709813	50000
0.2	0.001	CalPred	1	97.48953974895397	5000
0.2	0.001	PredInterval	1	86.19246861924687	5000
0.2	0.001	CalPred	2	87.25490196078431	50000
0.2	0.001	PredInterval	2	99.80392156862746	50000
0.2	0.001	CalPred	2	85.89211618257261	5000
0.2	0.001	PredInterval	2	100.0	5000
0.2	0.001	CalPred	3	91.03313840155946	50000
0.2	0.001	PredInterval	3	95.51656920077973	50000
0.2	0.001	CalPred	3	94.50980392156862	5000
0.2	0.001	PredInterval	3	83.92156862745098	5000
0.2	0.001	CalPred	4	89.17910447761194	50000
0.2	0.001	PredInterval	4	90.11194029850746	50000
0.2	0.001	CalPred	4	96.8342644320298	5000
0.2	0.001	PredInterval	4	96.46182495344506	5000
0.2	0.001	CalPred	5	88.97795591182364	50000
0.2	0.001	PredInterval	5	76.75350701402806	50000
0.2	0.001	CalPred	5	93.33333333333333	5000
0.2	0.001	PredInterval	5	96.29629629629629	5000
0.2	0.001	CalPred	6	89.38775510204081	50000
0.2	0.001	PredInterval	6	88.16326530612245	50000
0.2	0.001	CalPred	6	94.95495495495496	5000
0.2	0.001	PredInterval	6	92.97297297297298	5000
0.2	0.001	CalPred	7	90.2834008097166	50000
0.2	0.001	PredInterval	7	88.25910931174089	50000
0.2	0.001	CalPred	7	96.22266401590457	5000
0.2	0.001	PredInterval	7	98.80715705765407	5000
0.2	0.001	CalPred	8	88.38951310861424	50000
0.2	0.001	PredInterval	8	84.6441947565543	50000
0.2	0.001	CalPred	8	90.0990099009901	5000
0.2	0.001	PredInterval	8	93.23432343234323	5000
0.2	0.001	CalPred	9	91.04166666666667	50000
0.2	0.001	PredInterval	9	96.66666666666667	50000
0.2	0.001	CalPred	9	95.96602972399151	5000
0.2	0.001	PredInterval	9	97.0276008492569	5000
0.2	0.001	CalPred	10	91.26637554585153	50000
0.2	0.001	PredInterval	10	83.62445414847161	50000
0.2	0.001	CalPred	10	98.74213836477988	5000
0.2	0.001	PredInterval	10	86.79245283018868	5000
0.2	0.001	CalPred	11	94.05940594059405	50000
0.2	0.001	PredInterval	11	97.22772277227722	50000
0.2	0.001	CalPred	11	98.23788546255507	5000
0.2	0.001	PredInterval	11	97.79735682819384	5000
0.2	0.001	CalPred	12	88.88888888888889	50000
0.2	0.001	PredInterval	12	98.58585858585859	50000
0.2	0.001	CalPred	12	95.40229885057471	5000
0.2	0.001	PredInterval	12	93.67816091954023	5000
0.2	0.001	CalPred	13	93.31848552338529	50000
0.2	0.001	PredInterval	13	84.63251670378618	50000
0.2	0.001	CalPred	13	94.15730337078652	5000
0.2	0.001	PredInterval	13	99.5505617977528	5000
0.2	0.001	CalPred	14	87.57281553398059	50000
0.2	0.001	PredInterval	14	98.64077669902913	50000
0.2	0.001	CalPred	14	94.00826446280992	5000
0.2	0.001	PredInterval	14	100.0	5000
0.2	0.001	CalPred	15	89.82300884955751	50000
0.2	0.001	PredInterval	15	80.30973451327434	50000
0.2	0.001	CalPred	15	91.91176470588235	5000
0.2	0.001	PredInterval	15	95.83333333333334	5000
0.2	0.001	CalPred	16	89.15187376725838	50000
0.2	0.001	PredInterval	16	91.51873767258382	50000
0.2	0.001	CalPred	16	97.90476190476191	5000
0.2	0.001	PredInterval	16	95.04761904761905	5000
