method	n	seed	col	coverage	r2	length	group	subgroup	cv
CalPred	10000	0	age_q_0	0.95636025998143	0.010053880737229782	1.0268951110971067	Age	0	1
CalPred	10000	0	age_q_0	0.95636025998143	0.009016806933245728	1.0268951110971067	Age	0	2
CalPred	10000	0	age_q_0	0.95636025998143	0.01048998752118024	1.0268951110971067	Age	0	3
CalPred	10000	0	age_q_0	0.95636025998143	0.01204567966884913	1.0268951110971067	Age	0	4
CalPred	10000	0	age_q_0	0.95636025998143	0.010764096250020137	1.0268951110971067	Age	0	5
CalPred	10000	0	age_q_4	0.9458715596330276	0.0028811355198540955	0.911426355807577	Age	4	1
CalPred	10000	0	age_q_4	0.9458715596330276	0.007792645720792342	0.911426355807577	Age	4	2
CalPred	10000	0	age_q_4	0.9458715596330276	0.002962321587135131	0.911426355807577	Age	4	3
CalPred	10000	0	age_q_4	0.9458715596330276	0.004277354533298998	0.911426355807577	Age	4	4
CalPred	10000	0	age_q_4	0.9458715596330276	0.00307564074236696	0.911426355807577	Age	4	5
CalPred	10000	0	age_q_4	0.9592274678111588	0.0028811355198540955	0.9421507611346658	Age	4	1
CalPred	10000	0	age_q_4	0.9592274678111588	0.007792645720792342	0.9421507611346658	Age	4	2
CalPred	10000	0	age_q_4	0.9592274678111588	0.002962321587135131	0.9421507611346658	Age	4	3
CalPred	10000	0	age_q_4	0.9592274678111588	0.004277354533298998	0.9421507611346658	Age	4	4
CalPred	10000	0	age_q_4	0.9592274678111588	0.00307564074236696	0.9421507611346658	Age	4	5
CalPred	10000	0	age_q_9	0.9503105590062112	0.005246214742039725	0.7678851634715486	Age	9	1
CalPred	10000	0	age_q_9	0.9503105590062112	0.0036163251574546002	0.7678851634715486	Age	9	2
CalPred	10000	0	age_q_9	0.9503105590062112	0.005581064339390567	0.7678851634715486	Age	9	3
CalPred	10000	0	age_q_9	0.9503105590062112	0.003064890121166846	0.7678851634715486	Age	9	4
CalPred	10000	0	age_q_9	0.9503105590062112	0.00721637213669518	0.7678851634715486	Age	9	5
CalPred	10000	0	education_q_1	0.9435215946843852	0.0029152064080971486	1.0766152308392856	Education	1	1
CalPred	10000	0	education_q_1	0.9435215946843852	0.0196935041375902	1.0766152308392856	Education	1	2
CalPred	10000	0	education_q_1	0.9435215946843852	0.006013780521123857	1.0766152308392856	Education	1	3
CalPred	10000	0	education_q_1	0.9435215946843852	0.010321301075547394	1.0766152308392856	Education	1	4
CalPred	10000	0	education_q_1	0.9435215946843852	0.01661740004774079	1.0766152308392856	Education	1	5
CalPred	10000	0	education_q_4	0.9495711835334476	0.0035283308536194387	0.8777707908000324	Education	4	1
CalPred	10000	0	education_q_4	0.9495711835334476	0.003229888558103695	0.8777707908000324	Education	4	2
CalPred	10000	0	education_q_4	0.9495711835334476	0.0025913719979633867	0.8777707908000324	Education	4	3
CalPred	10000	0	education_q_4	0.9495711835334476	0.0027376659217382346	0.8777707908000324	Education	4	4
CalPred	10000	0	education_q_4	0.9495711835334476	0.0027103811595892225	0.8777707908000324	Education	4	5
CalPred	10000	0	income_q_1	0.9650837988826816	0.01348630116886223	1.1069969213446165	Income	1	1
CalPred	10000	0	income_q_1	0.9650837988826816	0.020877973395958198	1.1069969213446165	Income	1	2
CalPred	10000	0	income_q_1	0.9650837988826816	0.019683726509986874	1.1069969213446165	Income	1	3
CalPred	10000	0	income_q_1	0.9650837988826816	0.02205516658074149	1.1069969213446165	Income	1	4
CalPred	10000	0	income_q_1	0.9650837988826816	0.02358583457497009	1.1069969213446165	Income	1	5
CalPred	10000	0	income_q_5	0.947470065662418	0.009199943786394407	0.9322546516713244	Income	5	1
CalPred	10000	0	income_q_5	0.947470065662418	0.008516703957224406	0.9322546516713244	Income	5	2
CalPred	10000	0	income_q_5	0.947470065662418	0.005556390462329188	0.9322546516713244	Income	5	3
CalPred	10000	0	income_q_5	0.947470065662418	0.009890737843419806	0.9322546516713244	Income	5	4
CalPred	10000	0	income_q_5	0.947470065662418	0.010030295876727952	0.9322546516713244	Income	5	5
CalPred	10000	0	income_q_9	0.9477124183006536	0.0005453177416069133	0.7938121931212316	Income	9	1
CalPred	10000	0	income_q_9	0.9477124183006536	0.00048027028258446265	0.7938121931212316	Income	9	2
CalPred	10000	0	income_q_9	0.9477124183006536	0.001870066240578565	0.7938121931212316	Income	9	3
CalPred	10000	0	income_q_9	0.9477124183006536	0.0008475059012621765	0.7938121931212316	Income	9	4
CalPred	10000	0	income_q_9	0.9477124183006536	9.209359009466049e-06	0.7938121931212316	Income	9	5
CalPred	10000	0	marginal	0.9514	0.007207040774271256	0.9221922096676656	Overall		1
CalPred	10000	0	marginal	0.9514	0.007601366729176922	0.9221922096676656	Overall		2
CalPred	10000	0	marginal	0.9514	0.0066322908053337015	0.9221922096676656	Overall		3
CalPred	10000	0	marginal	0.9514	0.007160871247162893	0.9221922096676656	Overall		4
CalPred	10000	0	marginal	0.9514	0.0076656161228334085	0.9221922096676656	Overall		5
CalPred	10000	0	sex_q_0	0.954484153742414	0.0111778297300519	1.0135872772668924	Sex	0	1
CalPred	10000	0	sex_q_0	0.954484153742414	0.010736184541215542	1.0135872772668924	Sex	0	2
CalPred	10000	0	sex_q_0	0.954484153742414	0.009414034178143533	1.0135872772668924	Sex	0	3
CalPred	10000	0	sex_q_0	0.954484153742414	0.010387168323665801	1.0135872772668924	Sex	0	4
CalPred	10000	0	sex_q_0	0.954484153742414	0.010280331263363439	1.0135872772668924	Sex	0	5
CalPred	10000	0	sex_q_1	0.9469026548672568	0.0025912770190136083	0.7889189695008484	Sex	1	1
CalPred	10000	0	sex_q_1	0.9469026548672568	0.0035501362929989577	0.7889189695008484	Sex	1	2
CalPred	10000	0	sex_q_1	0.9469026548672568	0.003239424976007473	0.7889189695008484	Sex	1	3
CalPred	10000	0	sex_q_1	0.9469026548672568	0.0033187523753221418	0.7889189695008484	Sex	1	4
CalPred	10000	0	sex_q_1	0.9469026548672568	0.004098532412110264	0.7889189695008484	Sex	1	5
CalPred	10000	1	age_q_0	0.9508196721311476	0.022121035556606907	1.0221008163412502	Age	0	1
CalPred	10000	1	age_q_0	0.9508196721311476	0.017699018327816736	1.0221008163412502	Age	0	2
CalPred	10000	1	age_q_0	0.9508196721311476	0.020709900047813715	1.0221008163412502	Age	0	3
CalPred	10000	1	age_q_0	0.9508196721311476	0.01861679351921032	1.0221008163412502	Age	0	4
CalPred	10000	1	age_q_0	0.9508196721311476	0.024015993070303214	1.0221008163412502	Age	0	5
CalPred	10000	1	age_q_4	0.9515096065873742	0.0014050885362595147	0.924051208240702	Age	4	1
CalPred	10000	1	age_q_4	0.9515096065873742	0.0023693506328232626	0.924051208240702	Age	4	2
CalPred	10000	1	age_q_4	0.9515096065873742	0.00037540894481047544	0.924051208240702	Age	4	3
CalPred	10000	1	age_q_4	0.9515096065873742	0.0017390016642362656	0.924051208240702	Age	4	4
CalPred	10000	1	age_q_4	0.9515096065873742	0.0010526795180083475	0.924051208240702	Age	4	5
CalPred	10000	1	age_q_4	0.9434156378600824	0.0014050885362595147	0.9511729141959188	Age	4	1
CalPred	10000	1	age_q_4	0.9434156378600824	0.0023693506328232626	0.9511729141959188	Age	4	2
CalPred	10000	1	age_q_4	0.9434156378600824	0.00037540894481047544	0.9511729141959188	Age	4	3
CalPred	10000	1	age_q_4	0.9434156378600824	0.0017390016642362656	0.9511729141959188	Age	4	4
CalPred	10000	1	age_q_4	0.9434156378600824	0.0010526795180083475	0.9511729141959188	Age	4	5
CalPred	10000	1	age_q_9	0.9624365482233502	0.005763288576396095	0.7489561865999861	Age	9	1
CalPred	10000	1	age_q_9	0.9624365482233502	0.009194538578886862	0.7489561865999861	Age	9	2
CalPred	10000	1	age_q_9	0.9624365482233502	0.00870966529501271	0.7489561865999861	Age	9	3
CalPred	10000	1	age_q_9	0.9624365482233502	0.00848984038533719	0.7489561865999861	Age	9	4
CalPred	10000	1	age_q_9	0.9624365482233502	0.009059041275210298	0.7489561865999861	Age	9	5
CalPred	10000	1	education_q_1	0.946843853820598	0.0023087590500053116	1.0671314931237958	Education	1	1
CalPred	10000	1	education_q_1	0.946843853820598	0.0038583583259301935	1.0671314931237958	Education	1	2
CalPred	10000	1	education_q_1	0.946843853820598	0.01088501136208248	1.0671314931237958	Education	1	3
CalPred	10000	1	education_q_1	0.946843853820598	0.002077102033302507	1.0671314931237958	Education	1	4
