adjust	n	seed	col	coverage	r2	length
CalPred*-overfit	0.001	0	marginal	0.9342	0.1714111332033421	0.8668659648626182
CalPred*-overfit	0.001	1	marginal	0.9403	0.1653461166838825	0.8799743594754722
CalPred*-overfit	0.001	2	marginal	0.9345	0.164255671748028	0.869364158450148
CalPred*-overfit	0.001	3	marginal	0.9358	0.1761144422788609	0.8557422019331847
CalPred*-overfit	0.001	4	marginal	0.9365	0.1602678687051567	0.8738087416592362
CalPred*-overfit	0.001	5	marginal	0.941	0.1634729626261774	0.8819387664253283
CalPred*-overfit	0.001	6	marginal	0.9406	0.1699853537044559	0.8751387964522923
CalPred*-overfit	0.001	7	marginal	0.9325	0.170638087955899	0.864160801010334
CalPred*-overfit	0.001	8	marginal	0.934	0.192892144025444	0.8562304371933694
CalPred*-overfit	0.001	9	marginal	0.9402	0.1740334702766739	0.8595418747075743
CalPred*-overfit	0.001	10	marginal	0.9365	0.1501940104277953	0.8780835200212208
CalPred*-overfit	0.001	11	marginal	0.937	0.1603100890671484	0.8757955630005401
CalPred*-overfit	0.001	12	marginal	0.9415	0.1881695031122696	0.8636975389536444
CalPred*-overfit	0.001	13	marginal	0.9448	0.14839600310409	0.8910556874660109
CalPred*-overfit	0.001	14	marginal	0.935	0.1573348126231625	0.8688848528208452
CalPred*-overfit	0.001	15	marginal	0.9337	0.1506069360314163	0.8702560281812032
CalPred*-overfit	0.001	16	marginal	0.9408	0.1465484919512856	0.8805209556233116
CalPred*-overfit	0.001	17	marginal	0.9427	0.1798775382637123	0.868187813521384
CalPred*-overfit	0.001	18	marginal	0.9338	0.159112702608335	0.8668496441640149
CalPred*-overfit	0.001	19	marginal	0.9427	0.1182543580962669	0.9004592882077547
CalPred*-overfit	0.001	20	marginal	0.9428	0.170609084879835	0.8750593691230683
CalPred*-overfit	0.001	21	marginal	0.936	0.1546342599491656	0.8690231173788839
CalPred*-overfit	0.001	22	marginal	0.9372	0.1602873146748875	0.877646395058806
CalPred*-overfit	0.001	23	marginal	0.938	0.142545206962392	0.8945146898040215
CalPred*-overfit	0.001	24	marginal	0.9403	0.16865780973548	0.8713964549371269
CalPred*-overfit	0.001	25	marginal	0.9378	0.188602749325742	0.8496357888478575
CalPred*-overfit	0.001	26	marginal	0.9425	0.1395173962524857	0.8836300176233364
CalPred*-overfit	0.001	27	marginal	0.9352	0.1235651289405513	0.8901259278249437
CalPred*-overfit	0.001	28	marginal	0.9365	0.1387605690165871	0.8851788995062471
CalPred*-overfit	0.001	29	marginal	0.9349	0.1931413898855837	0.8559214648039926
CalPred	0.001	0	marginal	0.9509	0.1714111332033421	0.9212532064897552
CalPred	0.001	1	marginal	0.9487	0.1653461166838825	0.920798656132963
CalPred	0.001	2	marginal	0.9458	0.164255671748028	0.9073580183683068
CalPred	0.001	3	marginal	0.949	0.1761144422788609	0.9071609233587116
CalPred	0.001	4	marginal	0.9464	0.1602678687051567	0.90269135923689
CalPred	0.001	5	marginal	0.9458	0.1634729626261774	0.9040258482767888
CalPred	0.001	6	marginal	0.9505	0.1699853537044559	0.915794547274434
CalPred	0.001	7	marginal	0.9468	0.170638087955899	0.912769610385226
CalPred	0.001	8	marginal	0.9428	0.192892144025444	0.8877932502382547
CalPred	0.001	9	marginal	0.9533	0.1740334702766739	0.9032252036048704
CalPred	0.001	10	marginal	0.9502	0.1501940104277953	0.923689663447672
CalPred	0.001	11	marginal	0.9552	0.1603100890671484	0.9368572803501396
CalPred	0.001	12	marginal	0.9535	0.1881695031122696	0.9105166859417566
CalPred	0.001	13	marginal	0.9524	0.14839600310409	0.9208637366691564
CalPred	0.001	14	marginal	0.9484	0.1573348126231625	0.9147652532824708
CalPred	0.001	15	marginal	0.9492	0.1506069360314163	0.922561002312284
CalPred	0.001	16	marginal	0.9493	0.1465484919512856	0.9127380986588488
CalPred	0.001	17	marginal	0.9553	0.1798775382637123	0.9235409623501452
CalPred	0.001	18	marginal	0.9438	0.159112702608335	0.899636063449087
CalPred	0.001	19	marginal	0.9552	0.1182543580962669	0.943685237459173
CalPred	0.001	20	marginal	0.9526	0.170609084879835	0.9096117421121012
CalPred	0.001	21	marginal	0.9499	0.1546342599491656	0.9116579857778982
CalPred	0.001	22	marginal	0.9495	0.1602873146748875	0.9219730114172342
CalPred	0.001	23	marginal	0.9462	0.142545206962392	0.923992531133594
CalPred	0.001	24	marginal	0.9513	0.16865780973548	0.91120141825542
CalPred	0.001	25	marginal	0.9515	0.188602749325742	0.8997325540604987
CalPred	0.001	26	marginal	0.9557	0.1395173962524857	0.9302277181906214
CalPred	0.001	27	marginal	0.9482	0.1235651289405513	0.927031978611638
CalPred	0.001	28	marginal	0.949	0.1387605690165871	0.930944822590878
CalPred	0.001	29	marginal	0.9495	0.1931413898855837	0.8958185990258034
CalPred*-overfit	0.01	0	marginal	0.929	0.117563324013103	0.8772052490490322
CalPred*-overfit	0.01	1	marginal	0.9336	0.1292047602739894	0.8730445273246962
CalPred*-overfit	0.01	2	marginal	0.929	0.1252938030424273	0.8768640718548606
CalPred*-overfit	0.01	3	marginal	0.9328	0.1351127165682134	0.8701163524591606
CalPred*-overfit	0.01	4	marginal	0.9314	0.113934673856229	0.8780937830899981
CalPred*-overfit	0.01	5	marginal	0.9354	0.1359467963747319	0.882301046652492
