adjust	n	seed	col	coverage	r2	length
CalPred	0.001	0	marginal	0.9481	0.3468853518937527	0.8137350996256978
CalPred	0.001	1	marginal	0.9485	0.3258035346929995	0.8328901884951493
CalPred	0.001	2	marginal	0.9445	0.33497919408946	0.8073906356204165
CalPred	0.001	3	marginal	0.9546	0.3600688161953548	0.806448524516073
CalPred	0.001	4	marginal	0.9443	0.3253024379349479	0.8090431426009366
CalPred	0.001	5	marginal	0.9445	0.3378684488857786	0.8016110066350032
CalPred	0.001	6	marginal	0.9473	0.3249303124802411	0.8198632914273678
CalPred	0.001	7	marginal	0.9512	0.3463473357651431	0.8161737162957956
CalPred	0.001	8	marginal	0.9422	0.3784760310586361	0.7755938353823011
CalPred	0.001	9	marginal	0.951	0.3591237920915629	0.7965117578799977
CalPred	0.001	10	marginal	0.9533	0.318800712118139	0.8342945047599002
CalPred	0.001	11	marginal	0.9527	0.3196172325965339	0.8377501753897919
CalPred	0.001	12	marginal	0.9514	0.3671437219885849	0.8056788485505741
CalPred	0.001	13	marginal	0.9538	0.3142200440392579	0.8284522264208456
CalPred	0.001	14	marginal	0.9488	0.3244775396430924	0.8176690296389849
CalPred	0.001	15	marginal	0.9506	0.3275334439519085	0.8211913926057798
CalPred	0.001	16	marginal	0.9501	0.317309561709809	0.8214074775322806
CalPred	0.001	17	marginal	0.9572	0.3586896665767073	0.8179402521653203
CalPred	0.001	18	marginal	0.9457	0.334140038422468	0.8029560455421856
CalPred	0.001	19	marginal	0.9515	0.2554102351988985	0.8629313285421325
CalPred	0.001	20	marginal	0.9532	0.3531681668209326	0.8038463715191889
CalPred	0.001	21	marginal	0.951	0.3341924744652251	0.8136026272884791
CalPred	0.001	22	marginal	0.9476	0.3254139250213101	0.8264116399093733
CalPred	0.001	23	marginal	0.9456	0.2998631602931489	0.8294494778925544
CalPred	0.001	24	marginal	0.954	0.3393774510236165	0.8200483116104168
CalPred	0.001	25	marginal	0.9503	0.3788759328583609	0.7887622688888941
CalPred	0.001	26	marginal	0.9508	0.3006374153639182	0.8354673194335827
CalPred	0.001	27	marginal	0.9453	0.286289970063614	0.8386370836024744
CalPred	0.001	28	marginal	0.9514	0.3018753219644895	0.8408882682982861
CalPred	0.001	29	marginal	0.9473	0.3868315695419954	0.7823341656070059
