adjust	n	seed	col	coverage	r2	length
CalPred*-overfit	0.001	0	marginal	0.9219	0.3468853518937527	0.735210155428036
CalPred*-overfit	0.001	1	marginal	0.9251	0.3258035346929995	0.7520992158021915
CalPred*-overfit	0.001	2	marginal	0.9199	0.33497919408946	0.733580270839445
CalPred*-overfit	0.001	3	marginal	0.9234	0.3600688161953548	0.7210516594612953
CalPred*-overfit	0.001	4	marginal	0.9198	0.3253024379349479	0.7409314665776563
CalPred*-overfit	0.001	5	marginal	0.9244	0.3378684488857786	0.7442402183704909
CalPred*-overfit	0.001	6	marginal	0.9228	0.3249303124802411	0.7412514051727841
CalPred*-overfit	0.001	7	marginal	0.9226	0.3463473357651431	0.7293676979709106
CalPred*-overfit	0.001	8	marginal	0.9196	0.3784760310586361	0.7158665664855797
CalPred*-overfit	0.001	9	marginal	0.9255	0.3591237920915629	0.7207590688324758
CalPred*-overfit	0.001	10	marginal	0.9252	0.318800712118139	0.7447890374491172
CalPred*-overfit	0.001	11	marginal	0.9226	0.3196172325965339	0.7471529960363288
CalPred*-overfit	0.001	12	marginal	0.9233	0.3671437219885849	0.724746171629233
CalPred*-overfit	0.001	13	marginal	0.9307	0.3142200440392579	0.7594490974972674
CalPred*-overfit	0.001	14	marginal	0.9222	0.3244775396430924	0.7364091494972975
CalPred*-overfit	0.001	15	marginal	0.9261	0.3275334439519085	0.7378461226942966
CalPred*-overfit	0.001	16	marginal	0.9249	0.317309561709809	0.7492587301877733
CalPred*-overfit	0.001	17	marginal	0.9222	0.3586896665767073	0.7316802072147758
CalPred*-overfit	0.001	18	marginal	0.9209	0.334140038422468	0.7323776410856334
CalPred*-overfit	0.001	19	marginal	0.927	0.2554102351988985	0.7780076483202533
CalPred*-overfit	0.001	20	marginal	0.9267	0.3531681668209326	0.7325505432596847
CalPred*-overfit	0.001	21	marginal	0.9263	0.3341924744652251	0.735546467495721
CalPred*-overfit	0.001	22	marginal	0.9216	0.3254139250213101	0.7446916158247828
CalPred*-overfit	0.001	23	marginal	0.9236	0.2998631602931489	0.7604935155520772
CalPred*-overfit	0.001	24	marginal	0.9238	0.3393774510236165	0.735610593077562
CalPred*-overfit	0.001	25	marginal	0.9245	0.3788759328583609	0.7129601480908002
CalPred*-overfit	0.001	26	marginal	0.9253	0.3006374153639182	0.7525255000194153
CalPred*-overfit	0.001	27	marginal	0.9173	0.286289970063614	0.7607225888512853
CalPred*-overfit	0.001	28	marginal	0.9246	0.3018753219644895	0.7555996551813634
CalPred*-overfit	0.001	29	marginal	0.9264	0.3868315695419954	0.7199458519247466
CalPred	0.001	0	marginal	0.9481	0.3468853518937527	0.8137350996256978
CalPred	0.001	1	marginal	0.9485	0.3258035346929995	0.8328901884951493
CalPred	0.001	2	marginal	0.9445	0.33497919408946	0.8073906356204165
CalPred	0.001	3	marginal	0.9546	0.3600688161953548	0.806448524516073
CalPred	0.001	4	marginal	0.9443	0.3253024379349479	0.8090431426009366
CalPred	0.001	5	marginal	0.9445	0.3378684488857786	0.8016110066350032
CalPred	0.001	6	marginal	0.9473	0.3249303124802411	0.8198632914273678
CalPred	0.001	7	marginal	0.9512	0.3463473357651431	0.8161737162957956
CalPred	0.001	8	marginal	0.9422	0.3784760310586361	0.7755938353823011
CalPred	0.001	9	marginal	0.951	0.3591237920915629	0.7965117578799977
CalPred	0.001	10	marginal	0.9533	0.318800712118139	0.8342945047599002
CalPred	0.001	11	marginal	0.9527	0.3196172325965339	0.8377501753897919
CalPred	0.001	12	marginal	0.9514	0.3671437219885849	0.8056788485505741
CalPred	0.001	13	marginal	0.9538	0.3142200440392579	0.8284522264208456
