method	n	seed	col	coverage	r2	length	group	subgroup
CalPred	10000	0	age_q_0	0.95636025998143	0.12409239783380904	0.9664515210780416	Age	0
CalPred	10000	0	age_q_4	0.9495412844036696	0.143104695386809	0.8630104781383354	Age	4
CalPred	10000	0	age_q_4	0.9624463519313304	0.143104695386809	0.8901547447443067	Age	4
CalPred	10000	0	age_q_9	0.9492753623188406	0.08850861311754347	0.738527404117407	Age	9
CalPred	10000	0	education_q_1	0.9302325581395348	0.05505445685679196	1.0356601106642749	Education	1
CalPred	10000	0	education_q_4	0.9521440823327616	0.10798262134160654	0.8274832296423271	Education	4
CalPred	10000	0	income_q_1	0.9553072625698324	0.08350925911541082	1.0528701521726294	Income	1
CalPred	10000	0	income_q_5	0.9540363074546157	0.09986040642840478	0.8825449791874075	Income	5
CalPred	10000	0	income_q_9	0.94880174291939	0.06967716704222823	0.7514812947005962	Income	9
CalPred	10000	0	marginal	0.9535	0.11851591397040563	0.8727692179701222	Overall	
CalPred	10000	0	sex_q_0	0.9551584625758598	0.13420596151338002	0.949380657099586	Sex	0
CalPred	10000	0	sex_q_1	0.9510816125860374	0.09798160160459153	0.7610536189248962	Sex	1
CalPred	10000	1	age_q_0	0.9614271938283512	0.14368530280040714	0.9689184601809948	Age	0
CalPred	10000	1	age_q_4	0.9460201280878316	0.12079997417506826	0.8720050799318777	Age	4
CalPred	10000	1	age_q_4	0.9444444444444444	0.12079997417506826	0.8912623570914741	Age	4
CalPred	10000	1	age_q_9	0.965482233502538	0.11086113571025451	0.7408996605051206	Age	9
CalPred	10000	1	education_q_1	0.9534883720930232	0.028866571464084178	1.034113307253879	Education	1
CalPred	10000	1	education_q_4	0.9558849171752396	0.11487272569475084	0.8309099975997124	Education	4
CalPred	10000	1	income_q_1	0.944141689373297	0.06614205387914927	1.0533896676468308	Income	1
CalPred	10000	1	income_q_5	0.9581049334377448	0.11544606949504892	0.8815895390881804	Income	5
CalPred	10000	1	income_q_9	0.941427050053248	0.06786533115054476	0.7593947118422834	Income	9
CalPred	10000	1	marginal	0.9553	0.12114602419949079	0.8774416751431643	Overall	
CalPred	10000	1	sex_q_0	0.9595959595959596	0.13538648364855732	0.9539141960496756	Sex	0
CalPred	10000	1	sex_q_1	0.9487503155768744	0.10188865487647308	0.7608505229708789	Sex	1
CalPred	10000	2	age_q_0	0.9558964525407478	0.11472904532754091	0.9719180501772654	Age	0
CalPred	10000	2	age_q_4	0.9493783303730018	0.11199680713694043	0.8667162177353839	Age	4
CalPred	10000	2	age_q_4	0.9383783783783785	0.11199680713694043	0.8967207060524746	Age	4
CalPred	10000	2	age_q_9	0.9530761209593326	0.09209144567934668	0.7385843116042857	Age	9
CalPred	10000	2	education_q_1	0.9526813880126184	0.06966212851967556	1.0371792558758934	Education	1
CalPred	10000	2	education_q_4	0.946737455043672	0.11901140056333659	0.8277479120378927	Education	4
CalPred	10000	2	income_q_1	0.9547872340425532	0.10093644122155834	1.0509347124854118	Income	1
CalPred	10000	2	income_q_5	0.9490811638591118	0.10946463765751019	0.8835649808894633	Income	5
CalPred	10000	2	income_q_9	0.9429133858267716	0.11040512090522699	0.7510845360729694	Income	9
CalPred	10000	2	marginal	0.95	0.11733938665591198	0.8743449943953203	Overall	
CalPred	10000	2	sex_q_0	0.9521356157553598	0.13286006733469563	0.9515103286980598	Sex	0
CalPred	10000	2	sex_q_1	0.9467737886015566	0.09538788040367092	0.757773611894797	Sex	1
CalPred	10000	3	age_q_0	0.9566532258064516	0.1296687827602575	0.9679821734489372	Age	0
CalPred	10000	3	age_q_4	0.9639718804920914	0.1174485730496155	0.8688540329943191	Age	4
CalPred	10000	3	age_q_4	0.9588607594936708	0.1174485730496155	0.8982472269651776	Age	4
CalPred	10000	3	age_q_9	0.9479882237487732	0.07388229512558624	0.7407794445168715	Age	9
CalPred	10000	3	education_q_1	0.9358108108108107	0.13363198057047032	1.0323347021803504	Education	1
CalPred	10000	3	education_q_4	0.9546229955646536	0.10226706477467333	0.8285652794153042	Education	4
CalPred	10000	3	income_q_1	0.9427753934191704	0.10987315061456243	1.0479698660402823	Income	1
CalPred	10000	3	income_q_5	0.9565897536175204	0.11737090919861064	0.88164145091518	Income	5
CalPred	10000	3	income_q_9	0.9526952695269528	0.05478259883548199	0.7568721217644174	Income	9
CalPred	10000	3	marginal	0.9535	0.11699751025825791	0.8744244176885395	Overall	
CalPred	10000	3	sex_q_0	0.9551695616211744	0.13891712768549444	0.950125307018574	Sex	0
CalPred	10000	3	sex_q_1	0.9509481668773704	0.08504242771394258	0.7587197714179813	Sex	1
CalPred	10000	4	age_q_0	0.9589934762348556	0.1380734357884045	0.9621890821349384	Age	0
CalPred	10000	4	age_q_4	0.9532215357458076	0.11898599225598895	0.8661155538759565	Age	4
CalPred	10000	4	age_q_4	0.9409871244635192	0.11898599225598895	0.8981993357252491	Age	4
CalPred	10000	4	age_q_9	0.958904109589041	0.07951643623518445	0.7425838461572578	Age	9
CalPred	10000	4	education_q_1	0.9618055555555556	0.05560460931201558	1.0388160375400173	Education	1
CalPred	10000	4	education_q_4	0.957130657557643	0.11671925470017372	0.8281470913153882	Education	4
CalPred	10000	4	income_q_1	0.9421720733427362	0.06702566173601632	1.0332000753012922	Income	1
CalPred	10000	4	income_q_5	0.9549618320610688	0.1104302226066231	0.8810755965000218	Income	5
CalPred	10000	4	income_q_9	0.9472016895459344	0.10393868302091226	0.7545253936179034	Income	9
CalPred	10000	4	marginal	0.9536	0.1158542013843945	0.8723314293326397	Overall	
CalPred	10000	4	sex_q_0	0.954028752925443	0.1321023714522833	0.94780806706667	Sex	0
CalPred	10000	4	sex_q_1	0.9529616724738676	0.09352254965598196	0.7599617810188093	Sex	1
CalPred	10000	5	age_q_0	0.952161913523459	0.1306981112214836	0.973109480166694	Age	0
CalPred	10000	5	age_q_4	0.9431321084864392	0.10345364939274815	0.8670506529309783	Age	4
CalPred	10000	5	age_q_4	0.943866943866944	0.10345364939274815	0.8929183912857426	Age	4
CalPred	10000	5	age_q_9	0.941941941941942	0.08791340355451399	0.736969933050714	Age	9
CalPred	10000	5	education_q_1	0.9304635761589404	0.1012015701246021	1.038728160399215	Education	1
CalPred	10000	5	education_q_4	0.9508705395621444	0.10616064970034603	0.8295358226515305	Education	4
CalPred	10000	5	income_q_1	0.9445983379501384	0.07433290989389758	1.0518891251932616	Income	1
CalPred	10000	5	income_q_5	0.949119373776908	0.10914411378052637	0.882075491000678	Income	5
CalPred	10000	5	income_q_9	0.9497326203208556	0.06807229431253285	0.7532376933825393	Income	9
CalPred	10000	5	marginal	0.9501	0.11342801005746075	0.875657828258177	Overall	
CalPred	10000	5	sex_q_0	0.9506010209122344	0.12297936936795632	0.9522760125934784	Sex	0
