adjust	n	seed	col	coverage	r2	length
CalPred	0.001	0	marginal	0.9509	0.1714111332033421	0.9212532064897552
CalPred	0.001	1	marginal	0.9487	0.1653461166838825	0.920798656132963
CalPred	0.001	2	marginal	0.9458	0.164255671748028	0.9073580183683068
CalPred	0.001	3	marginal	0.949	0.1761144422788609	0.9071609233587116
CalPred	0.001	4	marginal	0.9464	0.1602678687051567	0.90269135923689
CalPred	0.001	5	marginal	0.9458	0.1634729626261774	0.9040258482767888
CalPred	0.001	6	marginal	0.9505	0.1699853537044559	0.915794547274434
CalPred	0.001	7	marginal	0.9468	0.170638087955899	0.912769610385226
CalPred	0.001	8	marginal	0.9428	0.192892144025444	0.8877932502382547
CalPred	0.001	9	marginal	0.9533	0.1740334702766739	0.9032252036048704
CalPred	0.001	10	marginal	0.9502	0.1501940104277953	0.923689663447672
CalPred	0.001	11	marginal	0.9552	0.1603100890671484	0.9368572803501396
CalPred	0.001	12	marginal	0.9535	0.1881695031122696	0.9105166859417566
CalPred	0.001	13	marginal	0.9524	0.14839600310409	0.9208637366691564
CalPred	0.001	14	marginal	0.9484	0.1573348126231625	0.9147652532824708
CalPred	0.001	15	marginal	0.9492	0.1506069360314163	0.922561002312284
CalPred	0.001	16	marginal	0.9493	0.1465484919512856	0.9127380986588488
CalPred	0.001	17	marginal	0.9553	0.1798775382637123	0.9235409623501452
CalPred	0.001	18	marginal	0.9438	0.159112702608335	0.899636063449087
CalPred	0.001	19	marginal	0.9552	0.1182543580962669	0.943685237459173
CalPred	0.001	20	marginal	0.9526	0.170609084879835	0.9096117421121012
CalPred	0.001	21	marginal	0.9499	0.1546342599491656	0.9116579857778982
CalPred	0.001	22	marginal	0.9495	0.1602873146748875	0.9219730114172342
CalPred	0.001	23	marginal	0.9462	0.142545206962392	0.923992531133594
CalPred	0.001	24	marginal	0.9513	0.16865780973548	0.91120141825542
CalPred	0.001	25	marginal	0.9515	0.188602749325742	0.8997325540604987
CalPred	0.001	26	marginal	0.9557	0.1395173962524857	0.9302277181906214
CalPred	0.001	27	marginal	0.9482	0.1235651289405513	0.927031978611638
CalPred	0.001	28	marginal	0.949	0.1387605690165871	0.930944822590878
CalPred	0.001	29	marginal	0.9495	0.1931413898855837	0.8958185990258034
PredInterval	0.001	0	marginal	0.9488	0.1747040863628652	0.9174513632426768
PredInterval	0.001	0	marginal	0.9528	0.1671374569760806	0.9756441357459406
PredInterval	0.001	0	marginal	0.9489	0.1679743035054448	1.0438549160286623
PredInterval	0.001	0	marginal	0.9531	0.1812892302614255	0.9199605306650014
PredInterval	0.001	0	marginal	0.9504	0.1635281331914277	0.91943753341169
PredInterval	0.001	0	marginal	0.9517	0.1681976162336005	1.0388840409931848
PredInterval	0.001	0	marginal	0.9509	0.1719890943199784	0.9209705139543386
PredInterval	0.001	0	marginal	0.9479	0.1785668923633028	0.9167858938143884
PredInterval	0.001	0	marginal	0.952	0.1976451160991503	0.9295818259438312
PredInterval	0.001	0	marginal	0.9561	0.1787849438944201	0.9307150626875792
PredInterval	0.001	0	marginal	0.9534	0.1567555115702001	0.9492263443758576
PredInterval	0.001	0	marginal	0.9528	0.1664637830854697	0.9369544665525106
PredInterval	0.001	0	marginal	0.9557	0.1950245393683402	0.9539329705978354
PredInterval	0.001	0	marginal	0.9552	0.1540691479906122	0.949693608269628
PredInterval	0.001	0	marginal	0.9541	0.1636236301469961	0.974151208702142
PredInterval	0.001	0	marginal	0.9531	0.1546447886440883	0.9515676440579716
PredInterval	0.001	0	marginal	0.9538	0.1482339009899204	0.9306914166212972
PredInterval	0.001	0	marginal	0.9578	0.1860751657641376	0.940147417230428
PredInterval	0.001	0	marginal	0.95	0.1630632806146822	0.977496152712838
PredInterval	0.001	0	marginal	0.9545	0.1198981422314446	0.9480502769846084
PredInterval	0.001	0	marginal	0.9548	0.1750539284333238	0.9489773715918064
PredInterval	0.001	0	marginal	0.9509	0.1569566054469658	0.9276530145673192
PredInterval	0.001	0	marginal	0.9528	0.1628072628920745	0.9362402278308132
PredInterval	0.001	0	marginal	0.9497	0.1433753313498414	0.9386719954645056
PredInterval	0.001	0	marginal	0.9531	0.1727229681500647	0.919649493434952
PredInterval	0.001	0	marginal	0.9552	0.1936703496675716	0.9157429389948564
PredInterval	0.001	0	marginal	0.9564	0.1457030136707933	0.9336859734786968
PredInterval	0.001	0	marginal	0.9483	0.1281870973923834	0.9908134041074016
PredInterval	0.001	0	marginal	0.9517	0.1399969886312525	0.9401852420144876
PredInterval	0.001	0	marginal	0.9554	0.1980962674185682	0.9196277693421928
CalPred	0.01	0	marginal	0.9494	0.117563324013103	0.9471972810583033
CalPred	0.01	1	marginal	0.9512	0.1292047602739894	0.9367018613157512
CalPred	0.01	2	marginal	0.9459	0.1252938030424273	0.9300903220140646
CalPred	0.01	3	marginal	0.9522	0.1351127165682134	0.928924810239275
CalPred	0.01	4	marginal	0.9446	0.113934673856229	0.9180824987962416
CalPred	0.01	5	marginal	0.9489	0.1359467963747319	0.921609046100013
CalPred	0.01	6	marginal	0.9523	0.1199494251230515	0.9403218635807902
CalPred	0.01	7	marginal	0.948	0.122487143811208	0.941466874847139
CalPred	0.01	8	marginal	0.945	0.1334675778550459	0.9147541545901824
CalPred	0.01	9	marginal	0.9521	0.130625862523497	0.9315418650717312
CalPred	0.01	10	marginal	0.9508	0.116251636547578	0.940505089959682
CalPred	0.01	11	marginal	0.9536	0.1391336442834419	0.9442687689269048
CalPred	0.01	12	marginal	0.9521	0.1427442164544817	0.936425118049192
CalPred	0.01	13	marginal	0.9522	0.1184405583445094	0.933883559593214
CalPred	0.01	14	marginal	0.9495	0.1304608981561868	0.9321373747352824
CalPred	0.01	15	marginal	0.9495	0.1236744188991779	0.9406425918764132
CalPred	0.01	16	marginal	0.9477	0.1081116855845625	0.9325330358976144
CalPred	0.01	17	marginal	0.9559	0.1504132223548243	0.9402231240910264
CalPred	0.01	18	marginal	0.9458	0.132274983719743	0.9162124314457428
CalPred	0.01	19	marginal	0.9535	0.1285464733556231	0.9374661579246018
CalPred	0.01	20	marginal	0.9528	0.1242425187737566	0.9360529160501072
CalPred	0.01	21	marginal	0.9468	0.1320907386185504	0.9245740836364522
CalPred	0.01	22	marginal	0.9493	0.1412427286691742	0.927430319935812
CalPred	0.01	23	marginal	0.9468	0.1170577953935796	0.9366131032608248
CalPred	0.01	24	marginal	0.9483	0.1369308929783961	0.933903609613351
CalPred	0.01	25	marginal	0.9508	0.1220241779941947	0.9284035758623052
CalPred	0.01	26	marginal	0.9562	0.1355685580535744	0.9389974068800756
CalPred	0.01	27	marginal	0.9442	0.1180620500329283	0.9263714679421072
CalPred	0.01	28	marginal	0.9518	0.1152746187751816	0.941734535315597
CalPred	0.01	29	marginal	0.9474	0.1341580314899604	0.9316569931072396
PredInterval	0.01	0	marginal	0.9497	0.1237538518102317	0.959686223298631
PredInterval	0.01	0	marginal	0.953	0.1375696358059855	0.9426834270138352
PredInterval	0.01	0	marginal	0.9498	0.1329609868986493	0.9627211042511732
PredInterval	0.01	0	marginal	0.9536	0.1409876439353651	0.9509073725242284
PredInterval	0.01	0	marginal	0.9504	0.1198944352940447	0.9785738092551514
PredInterval	0.01	0	marginal	0.9541	0.1440688073479529	0.9465941133327342
PredInterval	0.01	0	marginal	0.9544	0.1239743453240993	0.9868607940107812
PredInterval	0.01	0	marginal	0.9517	0.1311736785916973	0.9678078597202872
PredInterval	0.01	0	marginal	0.9516	0.1411043301080792	0.9468371602091694
PredInterval	0.01	0	marginal	0.9523	0.1376957851248603	0.965301851260264
PredInterval	0.01	0	marginal	0.9527	0.1250609692265338	0.9514886930739658
PredInterval	0.01	0	marginal	0.9553	0.1459298134207355	0.9424426706263416
PredInterval	0.01	0	marginal	0.9571	0.1531854161900464	0.9808213488558096
PredInterval	0.01	0	marginal	0.9559	0.1254868926423586	0.9470056081607164
PredInterval	0.01	0	marginal	0.9533	0.1377738187619339	1.1177452149354874
PredInterval	0.01	0	marginal	0.9528	0.1281468671769295	0.9542670531104428
PredInterval	0.01	0	marginal	0.953	0.1127353350287277	0.9522114186847048
PredInterval	0.01	0	marginal	0.9571	0.1576959816940681	0.9574991933394148
PredInterval	0.01	0	marginal	0.9507	0.1385403676341988	0.9376379396111774
PredInterval	0.01	0	marginal	0.9527	0.1332277275154124	0.994104266750038
PredInterval	0.01	0	marginal	0.9566	0.1309989628714855	0.9466247310264764
PredInterval	0.01	0	marginal	0.9487	0.1370441530112979	0.9392258890591476
PredInterval	0.01	0	marginal	0.9515	0.147070609421968	0.9696004933008772
PredInterval	0.01	0	marginal	0.953	0.1219167303075726	0.9980092197136256
PredInterval	0.01	0	marginal	0.9507	0.1432830850996519	0.9486386517486326
PredInterval	0.01	0	marginal	0.9524	0.1294533635210045	0.9360910101819276
PredInterval	0.01	0	marginal	0.9575	0.142544896430478	0.9395346446582394
PredInterval	0.01	0	marginal	0.9475	0.1244282126053792	0.9535443287147471
PredInterval	0.01	0	marginal	0.9561	0.1211932390409291	0.9694753466493684
PredInterval	0.01	0	marginal	0.9507	0.1420847870493117	0.9479105882582366
CalPred	0.1	0	marginal	0.9487	0.0987418615298319	0.9543344173568026
CalPred	0.1	1	marginal	0.9501	0.1078233772065038	0.9457199772057608
CalPred	0.1	2	marginal	0.9473	0.1091567553705583	0.9445888399700044
CalPred	0.1	3	marginal	0.9508	0.1024863401284356	0.9428512927610536
CalPred	0.1	4	marginal	0.9461	0.1090434540497888	0.9278377889622949
CalPred	0.1	5	marginal	0.9464	0.1037788364052152	0.936404635930504
